concept,lancaster_word,mapping_method,resolved
aardvark,AARDVARK,exact_normalized,True
abacus,ABACUS,exact_normalized,True
accordion,ACCORDION,exact_normalized,True
acorn,ACORN,exact_normalized,True
air_conditioner,,unresolved,False
air_mattress,,unresolved,False
air_pump,,unresolved,False
airbag,AIRBAG,exact_normalized,True
airboat,AIRBOAT,exact_normalized,True
aircraft_carrier,,unresolved,False
airplane,AIRPLANE,exact_normalized,True
album,ALBUM,exact_normalized,True
alligator,ALLIGATOR,exact_normalized,True
almond,ALMOND,exact_normalized,True
aloe,ALOE,exact_normalized,True
alpaca,ALPACA,exact_normalized,True
altar,ALTAR,exact_normalized,True
aluminum_foil,,unresolved,False
amber,AMBER,exact_normalized,True
ambulance,AMBULANCE,exact_normalized,True
amplifier,AMPLIFIER,exact_normalized,True
anchor,ANCHOR,exact_normalized,True
ankle,ANKLE,exact_normalized,True
anklet,ANKLET,exact_normalized,True
ant,ANT,exact_normalized,True
anteater,ANTEATER,exact_normalized,True
antelope,ANTELOPE,exact_normalized,True
antenna,ANTENNA,exact_normalized,True
anvil,ANVIL,exact_normalized,True
appetizer,APPETIZER,exact_normalized,True
apple,APPLE,exact_normalized,True
apple_tree,,unresolved,False
applesauce,APPLESAUCE,exact_normalized,True
apron,APRON,exact_normalized,True
aquarium,AQUARIUM,exact_normalized,True
arch,ARCH,exact_normalized,True
arm,ARM,exact_normalized,True
armor,ARMOR,exact_normalized,True
arrow,ARROW,exact_normalized,True
artichoke,ARTICHOKE,exact_normalized,True
arugula,ARUGULA,exact_normalized,True
ashtray,ASHTRAY,exact_normalized,True
asparagus,ASPARAGUS,exact_normalized,True
avocado,AVOCADO,exact_normalized,True
awning,AWNING,exact_normalized,True
axe,AXE,exact_normalized,True
baby,BABY,exact_normalized,True
backdrop,BACKDROP,exact_normalized,True
backgammon,BACKGAMMON,exact_normalized,True
backpack,BACKPACK,exact_normalized,True
backscratcher,BACKSCRATCHER,exact_normalized,True
bacon,BACON,exact_normalized,True
badge,BADGE,exact_normalized,True
badger,BADGER,exact_normalized,True
bag,BAG,exact_normalized,True
bagel,BAGEL,exact_normalized,True
bagpipe,BAGPIPE,exact_normalized,True
baklava,BAKLAVA,exact_normalized,True
balance_beam,,unresolved,False
ball,BALL,exact_normalized,True
balloon,BALLOON,exact_normalized,True
ballot_box,,unresolved,False
bamboo,BAMBOO,exact_normalized,True
banana,BANANA,exact_normalized,True
banana_peel,,unresolved,False
banana_split,,unresolved,False
bandage,BANDAGE,exact_normalized,True
bandanna,BANDANNA,exact_normalized,True
banjo,BANJO,exact_normalized,True
bank,BANK,exact_normalized,True
banner,BANNER,exact_normalized,True
barbed_wire,,unresolved,False
barbell,BARBELL,exact_normalized,True
barcode,BARCODE,exact_normalized,True
bark,BARK,exact_normalized,True
barnacle,BARNACLE,exact_normalized,True
barrel,BARREL,exact_normalized,True
barrette,BARRETTE,exact_normalized,True
baseball,BASEBALL,exact_normalized,True
baseball_bat,,unresolved,False
baseball_glove,,unresolved,False
basil,BASIL,exact_normalized,True
basket,BASKET,exact_normalized,True
basketball,BASKETBALL,exact_normalized,True
basketball_hoop,,unresolved,False
bassinet,BASSINET,exact_normalized,True
bassoon,BASSOON,exact_normalized,True
bat1,,unresolved,False
bat2,,unresolved,False
bathmat,BATHMAT,exact_normalized,True
bathrobe,BATHROBE,exact_normalized,True
bathtub,BATHTUB,exact_normalized,True
baton1,,unresolved,False
baton2,,unresolved,False
baton3,,unresolved,False
baton4,,unresolved,False
batter,BATTER,exact_normalized,True
battery,BATTERY,exact_normalized,True
bazooka,BAZOOKA,exact_normalized,True
beachball,BEACHBALL,exact_normalized,True
bead,BEAD,exact_normalized,True
beaker,BEAKER,exact_normalized,True
bean,BEAN,exact_normalized,True
beanbag,BEANBAG,exact_normalized,True
beanie,BEANIE,exact_normalized,True
bear,BEAR,exact_normalized,True
beard,BEARD,exact_normalized,True
beaver,BEAVER,exact_normalized,True
bed,BED,exact_normalized,True
bedpan,BEDPAN,exact_normalized,True
bedpost,BEDPOST,exact_normalized,True
bee,BEE,exact_normalized,True
beehive,BEEHIVE,exact_normalized,True
beer,BEER,exact_normalized,True
beet,BEET,exact_normalized,True
beetle,BEETLE,exact_normalized,True
bell,BELL,exact_normalized,True
bell_pepper,,unresolved,False
belt,BELT,exact_normalized,True
belt_buckle,,unresolved,False
bench,BENCH,exact_normalized,True
berry,BERRY,exact_normalized,True
bib,BIB,exact_normalized,True
bike,BIKE,exact_normalized,True
bikini,BIKINI,exact_normalized,True
bin,BIN,exact_normalized,True
binder,BINDER,exact_normalized,True
binoculars,BINOCULARS,exact_normalized,True
bird,BIRD,exact_normalized,True
birdbath,BIRDBATH,exact_normalized,True
birdcage,BIRDCAGE,exact_normalized,True
birdhouse,BIRDHOUSE,exact_normalized,True
birthday_cake,,unresolved,False
biscuit,BISCUIT,exact_normalized,True
bison,BISON,exact_normalized,True
blackberry,BLACKBERRY,exact_normalized,True
blanket,BLANKET,exact_normalized,True
blazer,BLAZER,exact_normalized,True
blender,BLENDER,exact_normalized,True
blimp,BLIMP,exact_normalized,True
blind,BLIND,exact_normalized,True
blinder,BLINDER,exact_normalized,True
blindfold,BLINDFOLD,exact_normalized,True
block,BLOCK,exact_normalized,True
blouse,BLOUSE,exact_normalized,True
blower,BLOWER,exact_normalized,True
blowfish,BLOWFISH,exact_normalized,True
blowgun,BLOWGUN,exact_normalized,True
blowtorch,BLOWTORCH,exact_normalized,True
blueberry,BLUEBERRY,exact_normalized,True
boa,BOA,exact_normalized,True
boar,BOAR,exact_normalized,True
board,BOARD,exact_normalized,True
board_game,,unresolved,False
boat,BOAT,exact_normalized,True
bobsled,BOBSLED,exact_normalized,True
bok_choy,,unresolved,False
bolo_tie,,unresolved,False
bologna,BOLOGNA,exact_normalized,True
bolt,BOLT,exact_normalized,True
bomb,BOMB,exact_normalized,True
bone,BONE,exact_normalized,True
bongo,BONGO,exact_normalized,True
bonnet,BONNET,exact_normalized,True
bonsai,BONSAI,exact_normalized,True
book,BOOK,exact_normalized,True
bookmark,BOOKMARK,exact_normalized,True
bookshelf,BOOKSHELF,exact_normalized,True
boomerang,BOOMERANG,exact_normalized,True
boot,BOOT,exact_normalized,True
bottle,BOTTLE,exact_normalized,True
bottle_opener,,unresolved,False
boulder,BOULDER,exact_normalized,True
bouquet,BOUQUET,exact_normalized,True
bow1,,unresolved,False
bow2,,unresolved,False
bow3,,unresolved,False
bowl,BOWL,exact_normalized,True
bowler_hat,,unresolved,False
bowling_ball,,unresolved,False
bowtie,BOWTIE,exact_normalized,True
box,BOX,exact_normalized,True
boxer_shorts,,unresolved,False
boxing_gloves,,unresolved,False
boy,BOY,exact_normalized,True
bra,BRA,exact_normalized,True
brace,BRACE,exact_normalized,True
bracelet1,,unresolved,False
bracelet2,,unresolved,False
bracket,BRACKET,exact_normalized,True
braid,BRAID,exact_normalized,True
brake,BRAKE,exact_normalized,True
branch,BRANCH,exact_normalized,True
brass_knuckles,,unresolved,False
bread,BREAD,exact_normalized,True
breadbox,BREADBOX,exact_normalized,True
breadstick,BREADSTICK,exact_normalized,True
breakfast,BREAKFAST,exact_normalized,True
breathalyzer,BREATHALYZER,exact_normalized,True
brick,BRICK,exact_normalized,True
briefcase,BRIEFCASE,exact_normalized,True
broccoli,BROCCOLI,exact_normalized,True
brooch,BROOCH,exact_normalized,True
broom,BROOM,exact_normalized,True
brownie,BROWNIE,exact_normalized,True
brush,BRUSH,exact_normalized,True
brussels_sprouts,,unresolved,False
bubble,BUBBLE,exact_normalized,True
bubble_wrap,,unresolved,False
bucket,BUCKET,exact_normalized,True
buckle,BUCKLE,exact_normalized,True
buffet,BUFFET,exact_normalized,True
bug,BUG,exact_normalized,True
buggy,BUGGY,exact_normalized,True
bull,BULL,exact_normalized,True
bulldozer,BULLDOZER,exact_normalized,True
bullet,BULLET,exact_normalized,True
bulletin_board,,unresolved,False
bulletproof_vest,,unresolved,False
bumper,BUMPER,exact_normalized,True
bun,BUN,exact_normalized,True
bungee,BUNGEE,exact_normalized,True
bunkbed,BUNKBED,exact_normalized,True
buoy,BUOY,exact_normalized,True
burner,BURNER,exact_normalized,True
burrito,BURRITO,exact_normalized,True
bus,BUS,exact_normalized,True
bush,BUSH,exact_normalized,True
butter,BUTTER,exact_normalized,True
butterfly,BUTTERFLY,exact_normalized,True
button1,,unresolved,False
button2,,unresolved,False
cabbage,CABBAGE,exact_normalized,True
cabinet,CABINET,exact_normalized,True
cable,CABLE,exact_normalized,True
cactus,CACTUS,exact_normalized,True
cage,CAGE,exact_normalized,True
cake,CAKE,exact_normalized,True
cake_mix,,unresolved,False
calamari,CALAMARI,exact_normalized,True
calculator,CALCULATOR,exact_normalized,True
calf1,,unresolved,False
calf2,,unresolved,False
calzone,CALZONE,exact_normalized,True
camcorder,CAMCORDER,exact_normalized,True
camel,CAMEL,exact_normalized,True
camera_lens,,unresolved,False
camera1,,unresolved,False
camera2,,unresolved,False
camper,CAMPER,exact_normalized,True
can,CAN,exact_normalized,True
can_opener,,unresolved,False
candelabra,CANDELABRA,exact_normalized,True
candle,CANDLE,exact_normalized,True
candlestick,CANDLESTICK,exact_normalized,True
candy,CANDY,exact_normalized,True
candy_bar,,unresolved,False
candy_cane,,unresolved,False
cane,CANE,exact_normalized,True
canister,CANISTER,exact_normalized,True
cannon,CANNON,exact_normalized,True
cannonball,CANNONBALL,exact_normalized,True
canoe,CANOE,exact_normalized,True
cantaloupe,CANTALOUPE,exact_normalized,True
canvas,CANVAS,exact_normalized,True
cap,CAP,exact_normalized,True
cape,CAPE,exact_normalized,True
car,CAR,exact_normalized,True
car_door,,unresolved,False
car_seat,,unresolved,False
caramel,CARAMEL,exact_normalized,True
card,CARD,exact_normalized,True
cardboard,CARDBOARD,exact_normalized,True
cardigan,CARDIGAN,exact_normalized,True
cardinal,CARDINAL,exact_normalized,True
carousel,CAROUSEL,exact_normalized,True
carriage,CARRIAGE,exact_normalized,True
carrot,CARROT,exact_normalized,True
cart,CART,exact_normalized,True
cash_machine,,unresolved,False
cash_register,,unresolved,False
cashew,CASHEW,exact_normalized,True
casserole,CASSEROLE,exact_normalized,True
cassette,CASSETTE,exact_normalized,True
cat,CAT,exact_normalized,True
catapult,CATAPULT,exact_normalized,True
caterpillar,CATERPILLAR,exact_normalized,True
catfish,CATFISH,exact_normalized,True
cauliflower,CAULIFLOWER,exact_normalized,True
caviar,CAVIAR,exact_normalized,True
cd_player,,unresolved,False
celery,CELERY,exact_normalized,True
cello,CELLO,exact_normalized,True
cellphone,CELLPHONE,exact_normalized,True
cement_mixer,,unresolved,False
centerpiece,CENTERPIECE,exact_normalized,True
centrifuge,CENTRIFUGE,exact_normalized,True
cereal,CEREAL,exact_normalized,True
chain,CHAIN,exact_normalized,True
chainsaw,CHAINSAW,exact_normalized,True
chair,CHAIR,exact_normalized,True
chalice,CHALICE,exact_normalized,True
chalk,CHALK,exact_normalized,True
chalkboard,CHALKBOARD,exact_normalized,True
champagne,CHAMPAGNE,exact_normalized,True
chandelier,CHANDELIER,exact_normalized,True
chaps,CHAPS,exact_normalized,True
charcoal,CHARCOAL,exact_normalized,True
charger,CHARGER,exact_normalized,True
chariot,CHARIOT,exact_normalized,True
checkbook,CHECKBOOK,exact_normalized,True
checkers,CHECKERS,exact_normalized,True
cheese,CHEESE,exact_normalized,True
cheeseburger,CHEESEBURGER,exact_normalized,True
cheesecake,CHEESECAKE,exact_normalized,True
cheetah,CHEETAH,exact_normalized,True
cherry,CHERRY,exact_normalized,True
chess_piece,,unresolved,False
chessboard,CHESSBOARD,exact_normalized,True
chest1,,unresolved,False
chest2,,unresolved,False
chick,CHICK,exact_normalized,True
chicken_wire,,unresolved,False
chicken1,,unresolved,False
chicken2,,unresolved,False
chickpea,CHICKPEA,exact_normalized,True
chihuahua,CHIHUAHUA,exact_normalized,True
chili,CHILI,exact_normalized,True
chime,CHIME,exact_normalized,True
chimney,CHIMNEY,exact_normalized,True
chin,CHIN,exact_normalized,True
chinaware,CHINAWARE,exact_normalized,True
chinchilla,CHINCHILLA,exact_normalized,True
chip,CHIP,exact_normalized,True
chipmunk,CHIPMUNK,exact_normalized,True
chips,CHIPS,exact_normalized,True
chisel,CHISEL,exact_normalized,True
chive,CHIVE,exact_normalized,True
chocolate,CHOCOLATE,exact_normalized,True
chopsticks,CHOPSTICKS,exact_normalized,True
christmas_card,,unresolved,False
christmas_tree,,unresolved,False
chute,CHUTE,exact_normalized,True
cigar,CIGAR,exact_normalized,True
cigarette,CIGARETTE,exact_normalized,True
cigarette_butt,,unresolved,False
cigarette_holder,,unresolved,False
cilantro,CILANTRO,exact_normalized,True
cinnamon,CINNAMON,exact_normalized,True
clam,CLAM,exact_normalized,True
clarinet,CLARINET,exact_normalized,True
clasp,CLASP,exact_normalized,True
clay,CLAY,exact_normalized,True
cleat,CLEAT,exact_normalized,True
cleaver,CLEAVER,exact_normalized,True
clipboard,CLIPBOARD,exact_normalized,True
clipper1,,unresolved,False
clipper2,,unresolved,False
cloak,CLOAK,exact_normalized,True
clock,CLOCK,exact_normalized,True
closet,CLOSET,exact_normalized,True
clothes,CLOTHES,exact_normalized,True
clothesline,CLOTHESLINE,exact_normalized,True
clothespin,CLOTHESPIN,exact_normalized,True
cloud,CLOUD,exact_normalized,True
clove,CLOVE,exact_normalized,True
clover,CLOVER,exact_normalized,True
coal,COAL,exact_normalized,True
coaster,COASTER,exact_normalized,True
coat,COAT,exact_normalized,True
coat_rack,,unresolved,False
cobra,COBRA,exact_normalized,True
cockatoo,COCKATOO,exact_normalized,True
cockroach,COCKROACH,exact_normalized,True
cocktail,COCKTAIL,exact_normalized,True
coconut,COCONUT,exact_normalized,True
cocoon,COCOON,exact_normalized,True
coffee,COFFEE,exact_normalized,True
coffee_bean,,unresolved,False
coffee_filter,,unresolved,False
coffee_pot,,unresolved,False
coffee_table,,unresolved,False
coffeemaker,COFFEEMAKER,exact_normalized,True
coffin,COFFIN,exact_normalized,True
coil,COIL,exact_normalized,True
coin,COIN,exact_normalized,True
coleslaw,COLESLAW,exact_normalized,True
collar,COLLAR,exact_normalized,True
column,COLUMN,exact_normalized,True
comb,COMB,exact_normalized,True
combination_lock,,unresolved,False
comic_book,,unresolved,False
compass,COMPASS,exact_normalized,True
compost,COMPOST,exact_normalized,True
computer,COMPUTER,exact_normalized,True
computer_screen,,unresolved,False
confetti,CONFETTI,exact_normalized,True
contact_lens,,unresolved,False
container,CONTAINER,exact_normalized,True
cooker,COOKER,exact_normalized,True
cookie,COOKIE,exact_normalized,True
cookie_cutter,,unresolved,False
cookie_sheet,,unresolved,False
cooler,COOLER,exact_normalized,True
coop,COOP,exact_normalized,True
copier,COPIER,exact_normalized,True
coral,CORAL,exact_normalized,True
cord,CORD,exact_normalized,True
cordon_bleu,,unresolved,False
cork,CORK,exact_normalized,True
corkboard,CORKBOARD,exact_normalized,True
corkscrew,CORKSCREW,exact_normalized,True
corn,CORN,exact_normalized,True
cornbread,CORNBREAD,exact_normalized,True
cornhusk,CORNHUSK,exact_normalized,True
cornmeal,CORNMEAL,exact_normalized,True
cornucopia,CORNUCOPIA,exact_normalized,True
corsage,CORSAGE,exact_normalized,True
corset,CORSET,exact_normalized,True
costume,COSTUME,exact_normalized,True
cot,COT,exact_normalized,True
cotton_candy,,unresolved,False
couch,COUCH,exact_normalized,True
cougar,COUGAR,exact_normalized,True
counter,COUNTER,exact_normalized,True
coverall,COVERALL,exact_normalized,True
cow,COW,exact_normalized,True
coyote,COYOTE,exact_normalized,True
crab,CRAB,exact_normalized,True
cracker,CRACKER,exact_normalized,True
cranberry,CRANBERRY,exact_normalized,True
crane,CRANE,exact_normalized,True
crank,CRANK,exact_normalized,True
crate,CRATE,exact_normalized,True
crayfish,CRAYFISH,exact_normalized,True
crayon,CRAYON,exact_normalized,True
cream,CREAM,exact_normalized,True
cream_cheese,,unresolved,False
credit_card,,unresolved,False
creme_brulee,,unresolved,False
crepe,CREPE,exact_normalized,True
crib,CRIB,exact_normalized,True
croissant,CROISSANT,exact_normalized,True
cross,CROSS,exact_normalized,True
crossbow,CROSSBOW,exact_normalized,True
crouton,CROUTON,exact_normalized,True
crow,CROW,exact_normalized,True
crowbar,CROWBAR,exact_normalized,True
crown,CROWN,exact_normalized,True
crucifix,CRUCIFIX,exact_normalized,True
cruise_ship,,unresolved,False
crumb,CRUMB,exact_normalized,True
crutch,CRUTCH,exact_normalized,True
crystal_ball,,unresolved,False
crystal1,,unresolved,False
crystal2,,unresolved,False
cuckoo_clock,,unresolved,False
cucumber,CUCUMBER,exact_normalized,True
cufflink,CUFFLINK,exact_normalized,True
cummerbund,CUMMERBUND,exact_normalized,True
cup,CUP,exact_normalized,True
cupcake,CUPCAKE,exact_normalized,True
curb,CURB,exact_normalized,True
curling_iron,,unresolved,False
curry,CURRY,exact_normalized,True
curtain,CURTAIN,exact_normalized,True
cushion,CUSHION,exact_normalized,True
cutting_board,,unresolved,False
cymbal,CYMBAL,exact_normalized,True
dagger,DAGGER,exact_normalized,True
daisy,DAISY,exact_normalized,True
dalmatian,DALMATIAN,exact_normalized,True
dandelion,DANDELION,exact_normalized,True
dart,DART,exact_normalized,True
dartboard,DARTBOARD,exact_normalized,True
dashboard,DASHBOARD,exact_normalized,True
deer,DEER,exact_normalized,True
defibrillator,DEFIBRILLATOR,exact_normalized,True
denture,DENTURE,exact_normalized,True
deodorant,DEODORANT,exact_normalized,True
desk,DESK,exact_normalized,True
dessert,DESSERT,exact_normalized,True
detonator,DETONATOR,exact_normalized,True
dial,DIAL,exact_normalized,True
diamond,DIAMOND,exact_normalized,True
diaper,DIAPER,exact_normalized,True
dice,DICE,exact_normalized,True
dip,DIP,exact_normalized,True
dirt_bike,,unresolved,False
dish,DISH,exact_normalized,True
dishrag,DISHRAG,exact_normalized,True
dishwasher,DISHWASHER,exact_normalized,True
dishwashing_liquid,,unresolved,False
diskette,DISKETTE,exact_normalized,True
diving_board,,unresolved,False
dog,DOG,exact_normalized,True
dogfood,DOGFOOD,exact_normalized,True
doghouse,DOGHOUSE,exact_normalized,True
doily,DOILY,exact_normalized,True
doll,DOLL,exact_normalized,True
dollhouse,DOLLHOUSE,exact_normalized,True
dolly,DOLLY,exact_normalized,True
dolphin,DOLPHIN,exact_normalized,True
domino,DOMINO,exact_normalized,True
donkey,DONKEY,exact_normalized,True
donut,DONUT,exact_normalized,True
door,DOOR,exact_normalized,True
doorbell,DOORBELL,exact_normalized,True
doorhandle,DOORHANDLE,exact_normalized,True
doorknob,DOORKNOB,exact_normalized,True
doorknocker,DOORKNOCKER,exact_normalized,True
doormat,DOORMAT,exact_normalized,True
doorstop,DOORSTOP,exact_normalized,True
dough,DOUGH,exact_normalized,True
dragonfly,DRAGONFLY,exact_normalized,True
drain,DRAIN,exact_normalized,True
drawer,DRAWER,exact_normalized,True
dreidel,DREIDEL,exact_normalized,True
dress,DRESS,exact_normalized,True
dresser,DRESSER,exact_normalized,True
drill,DRILL,exact_normalized,True
drink,DRINK,exact_normalized,True
drum,DRUM,exact_normalized,True
drumstick,DRUMSTICK,exact_normalized,True
dryer,DRYER,exact_normalized,True
duck,DUCK,exact_normalized,True
duckling,DUCKLING,exact_normalized,True
duct,DUCT,exact_normalized,True
duct_tape,,unresolved,False
duffel_bag,,unresolved,False
dumbbell,DUMBBELL,exact_normalized,True
dumbwaiter,DUMBWAITER,exact_normalized,True
dumpling,DUMPLING,exact_normalized,True
dumpster,DUMPSTER,exact_normalized,True
duster,DUSTER,exact_normalized,True
dustpan,DUSTPAN,exact_normalized,True
dynamite,DYNAMITE,exact_normalized,True
eagle,EAGLE,exact_normalized,True
ear,EAR,exact_normalized,True
earplug,EARPLUG,exact_normalized,True
earring,EARRING,exact_normalized,True
earwig,EARWIG,exact_normalized,True
easel,EASEL,exact_normalized,True
easter_egg,,unresolved,False
eclair,ECLAIR,exact_normalized,True
eel,EEL,exact_normalized,True
egg,EGG,exact_normalized,True
egg_roll,,unresolved,False
eggbeater,EGGBEATER,exact_normalized,True
eggnog,EGGNOG,exact_normalized,True
eggplant,EGGPLANT,exact_normalized,True
eggshell,EGGSHELL,exact_normalized,True
elbow,ELBOW,exact_normalized,True
electric_chair,,unresolved,False
elephant,ELEPHANT,exact_normalized,True
emerald,EMERALD,exact_normalized,True
enchilada,ENCHILADA,exact_normalized,True
engine,ENGINE,exact_normalized,True
envelope,ENVELOPE,exact_normalized,True
eraser,ERASER,exact_normalized,True
espresso,ESPRESSO,exact_normalized,True
exerciser,EXERCISER,exact_normalized,True
exhaust_pipe,,unresolved,False
extinguisher,EXTINGUISHER,exact_normalized,True
eye,EYE,exact_normalized,True
eye_patch,,unresolved,False
eyedropper,EYEDROPPER,exact_normalized,True
eyeliner,EYELINER,exact_normalized,True
eyepiece,EYEPIECE,exact_normalized,True
face,FACE,exact_normalized,True
face_mask,,unresolved,False
fan,FAN,exact_normalized,True
fast_food,,unresolved,False
faucet,FAUCET,exact_normalized,True
feather,FEATHER,exact_normalized,True
fence,FENCE,exact_normalized,True
fencepost,FENCEPOST,exact_normalized,True
fern,FERN,exact_normalized,True
ferret,FERRET,exact_normalized,True
ferris_wheel,,unresolved,False
ferry,FERRY,exact_normalized,True
fig,FIG,exact_normalized,True
figurine,FIGURINE,exact_normalized,True
file1,,unresolved,False
file2,,unresolved,False
filing_cabinet,,unresolved,False
film,FILM,exact_normalized,True
filter,FILTER,exact_normalized,True
finger,FINGER,exact_normalized,True
fingerprint,FINGERPRINT,exact_normalized,True
fire,FIRE,exact_normalized,True
fire_alarm,,unresolved,False
fire_hydrant,,unresolved,False
fire_pit,,unresolved,False
firecracker,FIRECRACKER,exact_normalized,True
fireplace,FIREPLACE,exact_normalized,True
firetruck,FIRETRUCK,exact_normalized,True
firewood,FIREWOOD,exact_normalized,True
fireworks,FIREWORKS,exact_normalized,True
first-aid_kit,,unresolved,False
fish,FISH,exact_normalized,True
fishbowl,FISHBOWL,exact_normalized,True
fishhook,FISHHOOK,exact_normalized,True
fishing_pole,,unresolved,False
fishnet_stockings,,unresolved,False
flag,FLAG,exact_normalized,True
flagpole,FLAGPOLE,exact_normalized,True
flamethrower,FLAMETHROWER,exact_normalized,True
flamingo,FLAMINGO,exact_normalized,True
flan,FLAN,exact_normalized,True
flashbulb,FLASHBULB,exact_normalized,True
flashlight,FLASHLIGHT,exact_normalized,True
flask,FLASK,exact_normalized,True
flatiron,FLATIRON,exact_normalized,True
flip_flop,,unresolved,False
flipper,FLIPPER,exact_normalized,True
float,FLOAT,exact_normalized,True
