concept,lancaster_word,mapping_method,resolved
potpourri,POTPOURRI,exact_normalized,True
powder,POWDER,exact_normalized,True
power_line,,unresolved,False
praying_mantis,,unresolved,False
pretzel,PRETZEL,exact_normalized,True
printer,PRINTER,exact_normalized,True
prism,PRISM,exact_normalized,True
projector,PROJECTOR,exact_normalized,True
propeller,PROPELLER,exact_normalized,True
prune,PRUNE,exact_normalized,True
puck,PUCK,exact_normalized,True
pudding,PUDDING,exact_normalized,True
puddle,PUDDLE,exact_normalized,True
puffin,PUFFIN,exact_normalized,True
pug,PUG,exact_normalized,True
pulley,PULLEY,exact_normalized,True
pulpit,PULPIT,exact_normalized,True
pump,PUMP,exact_normalized,True
pumpkin,PUMPKIN,exact_normalized,True
punch1,,unresolved,False
punch2,,unresolved,False
punching_bag,,unresolved,False
puppet,PUPPET,exact_normalized,True
puppy,PUPPY,exact_normalized,True
purse,PURSE,exact_normalized,True
quad,QUAD,exact_normalized,True
quesadilla,QUESADILLA,exact_normalized,True
quiche,QUICHE,exact_normalized,True
quill,QUILL,exact_normalized,True
quilt,QUILT,exact_normalized,True
rabbit,RABBIT,exact_normalized,True
raccoon,RACCOON,exact_normalized,True
racehorse,RACEHORSE,exact_normalized,True
rack1,,unresolved,False
rack2,,unresolved,False
racket,RACKET,exact_normalized,True
radar,RADAR,exact_normalized,True
radiator,RADIATOR,exact_normalized,True
radio,RADIO,exact_normalized,True
radish,RADISH,exact_normalized,True
raft,RAFT,exact_normalized,True
rag,RAG,exact_normalized,True
railing,RAILING,exact_normalized,True
rain_gauge,,unresolved,False
raincoat,RAINCOAT,exact_normalized,True
raisin,RAISIN,exact_normalized,True
rake,RAKE,exact_normalized,True
ram,RAM,exact_normalized,True
ramp,RAMP,exact_normalized,True
raspberry,RASPBERRY,exact_normalized,True
rat,RAT,exact_normalized,True
ratchet,RATCHET,exact_normalized,True
rattle,RATTLE,exact_normalized,True
rattlesnake,RATTLESNAKE,exact_normalized,True
ravioli,RAVIOLI,exact_normalized,True
razor,RAZOR,exact_normalized,True
razor_blade,,unresolved,False
ready_meal,,unresolved,False
rearview_mirror,,unresolved,False
recliner,RECLINER,exact_normalized,True
record,RECORD,exact_normalized,True
record_player,,unresolved,False
recorder,RECORDER,exact_normalized,True
red_carpet,,unresolved,False
reel,REEL,exact_normalized,True
refrigerator,REFRIGERATOR,exact_normalized,True
reindeer,REINDEER,exact_normalized,True
remote_control,,unresolved,False
retainer,RETAINER,exact_normalized,True
revolver,REVOLVER,exact_normalized,True
revolving_door,,unresolved,False
rhinoceros,RHINOCEROS,exact_normalized,True
rhubarb,RHUBARB,exact_normalized,True
ribbon,RIBBON,exact_normalized,True
rice,RICE,exact_normalized,True
rickshaw,RICKSHAW,exact_normalized,True
rifle,RIFLE,exact_normalized,True
rim,RIM,exact_normalized,True
ring,RING,exact_normalized,True
riser,RISER,exact_normalized,True
road_sign,,unresolved,False
roadsweeper,ROADSWEEPER,exact_normalized,True
robe,ROBE,exact_normalized,True
robot,ROBOT,exact_normalized,True
rock,ROCK,exact_normalized,True
rocket,ROCKET,exact_normalized,True
rocking_chair,,unresolved,False
rocking_horse,,unresolved,False
roll,ROLL,exact_normalized,True
roller,ROLLER,exact_normalized,True
roller_coaster,,unresolved,False
rollerblade,ROLLERBLADE,exact_normalized,True
rollerskate,ROLLERSKATE,exact_normalized,True
rolling_pin,,unresolved,False
roof_rack,,unresolved,False
rooster,ROOSTER,exact_normalized,True
root,ROOT,exact_normalized,True
rope,ROPE,exact_normalized,True
rosary,ROSARY,exact_normalized,True
rose,ROSE,exact_normalized,True
roulette_wheel,,unresolved,False
router,ROUTER,exact_normalized,True
rubber_band,,unresolved,False
ruby,RUBY,exact_normalized,True
rudder,RUDDER,exact_normalized,True
rug,RUG,exact_normalized,True
ruler,RULER,exact_normalized,True
rust,RUST,exact_normalized,True
saddle,SADDLE,exact_normalized,True
safety_pin,,unresolved,False
saffron,SAFFRON,exact_normalized,True
sail,SAIL,exact_normalized,True
sailboat,SAILBOAT,exact_normalized,True
salad,SALAD,exact_normalized,True
salami,SALAMI,exact_normalized,True
saltshaker,SALTSHAKER,exact_normalized,True
sand,SAND,exact_normalized,True
sandal,SANDAL,exact_normalized,True
sandbag,SANDBAG,exact_normalized,True
sandbox,SANDBOX,exact_normalized,True
sandcastle,SANDCASTLE,exact_normalized,True
sandpaper,SANDPAPER,exact_normalized,True
sandwich,SANDWICH,exact_normalized,True
sarcophagus,SARCOPHAGUS,exact_normalized,True
sardine,SARDINE,exact_normalized,True
satellite,SATELLITE,exact_normalized,True
satellite_dish,,unresolved,False
sauce,SAUCE,exact_normalized,True
saucer,SAUCER,exact_normalized,True
sauerkraut,SAUERKRAUT,exact_normalized,True
sausage,SAUSAGE,exact_normalized,True
saw,SAW,exact_normalized,True
sawhorse,SAWHORSE,exact_normalized,True
saxophone,SAXOPHONE,exact_normalized,True
scaffold,SCAFFOLD,exact_normalized,True
scaffolding,SCAFFOLDING,exact_normalized,True
scale,SCALE,exact_normalized,True
scallion,SCALLION,exact_normalized,True
scallop,SCALLOP,exact_normalized,True
scalpel,SCALPEL,exact_normalized,True
scanner,SCANNER,exact_normalized,True
scarecrow,SCARECROW,exact_normalized,True
scarf,SCARF,exact_normalized,True
school_bus,,unresolved,False
scissors,SCISSORS,exact_normalized,True
scone,SCONE,exact_normalized,True
scoop,SCOOP,exact_normalized,True
scooter,SCOOTER,exact_normalized,True
scoreboard,SCOREBOARD,exact_normalized,True
scorpion,SCORPION,exact_normalized,True
scrabble,SCRABBLE,exact_normalized,True
scrambled_egg,,unresolved,False
scraper,SCRAPER,exact_normalized,True
screen1,,unresolved,False
screen2,,unresolved,False
screw,SCREW,exact_normalized,True
screwdriver,SCREWDRIVER,exact_normalized,True
scuba,SCUBA,exact_normalized,True
sea_urchin,,unresolved,False
seafood,SEAFOOD,exact_normalized,True
seagull,SEAGULL,exact_normalized,True
seahorse,SEAHORSE,exact_normalized,True
seal,SEAL,exact_normalized,True
seaplane,SEAPLANE,exact_normalized,True
seatbelt,SEATBELT,exact_normalized,True
seaweed,SEAWEED,exact_normalized,True
seed,SEED,exact_normalized,True
seesaw,SEESAW,exact_normalized,True
seismograph,SEISMOGRAPH,exact_normalized,True
sequin,SEQUIN,exact_normalized,True
sewage,SEWAGE,exact_normalized,True
sewing_kit,,unresolved,False
sewing_machine,,unresolved,False
shaker,SHAKER,exact_normalized,True
shark,SHARK,exact_normalized,True
shaving_cream,,unresolved,False
shawl,SHAWL,exact_normalized,True
shears,SHEARS,exact_normalized,True
sheath,SHEATH,exact_normalized,True
sheep,SHEEP,exact_normalized,True
sheet,SHEET,exact_normalized,True
shelf,SHELF,exact_normalized,True
shell1,,unresolved,False
shell2,,unresolved,False
shell3,,unresolved,False
shield,SHIELD,exact_normalized,True
ship,SHIP,exact_normalized,True
shirt,SHIRT,exact_normalized,True
shoe,SHOE,exact_normalized,True
shoe_polish,,unresolved,False
shoehorn,SHOEHORN,exact_normalized,True
shoelace,SHOELACE,exact_normalized,True
shopping_basket,,unresolved,False
shopping_cart,,unresolved,False
shortbread,SHORTBREAD,exact_normalized,True
shorts,SHORTS,exact_normalized,True
shoulder,SHOULDER,exact_normalized,True
shovel,SHOVEL,exact_normalized,True
shower,SHOWER,exact_normalized,True
shower_cap,,unresolved,False
shower_curtain,,unresolved,False
showerhead,SHOWERHEAD,exact_normalized,True
shredder,SHREDDER,exact_normalized,True
shrimp,SHRIMP,exact_normalized,True
shuffleboard,SHUFFLEBOARD,exact_normalized,True
shutter,SHUTTER,exact_normalized,True
sickle,SICKLE,exact_normalized,True
sidecar,SIDECAR,exact_normalized,True
sifter,SIFTER,exact_normalized,True
silicone,SILICONE,exact_normalized,True
silverware,SILVERWARE,exact_normalized,True
sim_card,,unresolved,False
sink,SINK,exact_normalized,True
siren,SIREN,exact_normalized,True
skateboard,SKATEBOARD,exact_normalized,True
skeleton,SKELETON,exact_normalized,True
skewer,SKEWER,exact_normalized,True
ski,SKI,exact_normalized,True
ski_boots,,unresolved,False
ski_lift,,unresolved,False
ski_pole,,unresolved,False
skin,SKIN,exact_normalized,True
skirt,SKIRT,exact_normalized,True
skull,SKULL,exact_normalized,True
skunk,SKUNK,exact_normalized,True
sled,SLED,exact_normalized,True
sledgehammer,SLEDGEHAMMER,exact_normalized,True
sleeping_bag,,unresolved,False
slicer,SLICER,exact_normalized,True
slide,SLIDE,exact_normalized,True
slime,SLIME,exact_normalized,True
sling,SLING,exact_normalized,True
slingshot,SLINGSHOT,exact_normalized,True
slipper,SLIPPER,exact_normalized,True
slot,SLOT,exact_normalized,True
slot_machine,,unresolved,False
sloth,SLOTH,exact_normalized,True
slug,SLUG,exact_normalized,True
smoke_alarm,,unresolved,False
smoothie,SMOOTHIE,exact_normalized,True
snack,SNACK,exact_normalized,True
snail,SNAIL,exact_normalized,True
snake,SNAKE,exact_normalized,True
snorkel,SNORKEL,exact_normalized,True
snow,SNOW,exact_normalized,True
snowball,SNOWBALL,exact_normalized,True
snowboard,SNOWBOARD,exact_normalized,True
snowman,SNOWMAN,exact_normalized,True
snowmobile,SNOWMOBILE,exact_normalized,True
snowplow,SNOWPLOW,exact_normalized,True
snowshoe,SNOWSHOE,exact_normalized,True
snowsuit,SNOWSUIT,exact_normalized,True
soap,SOAP,exact_normalized,True
soccer_ball,,unresolved,False
sock,SOCK,exact_normalized,True
soda,SODA,exact_normalized,True
soda_fountain,,unresolved,False
sofa_bed,,unresolved,False
solar_panel,,unresolved,False
soldering_iron,,unresolved,False
sombrero,SOMBRERO,exact_normalized,True
sonogram,SONOGRAM,exact_normalized,True
sorbet,SORBET,exact_normalized,True
souffle,SOUFFLE,exact_normalized,True
soup,SOUP,exact_normalized,True
soy_sauce,,unresolved,False
space_shuttle,,unresolved,False
spacesuit,SPACESUIT,exact_normalized,True
spaghetti,SPAGHETTI,exact_normalized,True
spam,SPAM,exact_normalized,True
spareribs,SPARERIBS,exact_normalized,True
spark_plug,,unresolved,False
sparkler,SPARKLER,exact_normalized,True
spatula,SPATULA,exact_normalized,True
speaker,SPEAKER,exact_normalized,True
spear,SPEAR,exact_normalized,True
speedboat,SPEEDBOAT,exact_normalized,True
speedometer,SPEEDOMETER,exact_normalized,True
spider,SPIDER,exact_normalized,True
spider_web,,unresolved,False
spinach,SPINACH,exact_normalized,True
splinter,SPLINTER,exact_normalized,True
sponge,SPONGE,exact_normalized,True
spool,SPOOL,exact_normalized,True
spoon,SPOON,exact_normalized,True
spout,SPOUT,exact_normalized,True
spring_roll,,unresolved,False
springboard,SPRINGBOARD,exact_normalized,True
sprinkler,SPRINKLER,exact_normalized,True
sprouts,,unresolved,False
spur,SPUR,exact_normalized,True
squash,SQUASH,exact_normalized,True
squeegee,SQUEEGEE,exact_normalized,True
squid,SQUID,exact_normalized,True
squirrel,SQUIRREL,exact_normalized,True
squirt_gun,,unresolved,False
stained_glass,,unresolved,False
stair,STAIR,exact_normalized,True
stake,STAKE,exact_normalized,True
stalagmite,STALAGMITE,exact_normalized,True
stamp1,,unresolved,False
stamp2,,unresolved,False
staple,STAPLE,exact_normalized,True
staple_gun,,unresolved,False
stapler,STAPLER,exact_normalized,True
star_fruit,,unresolved,False
starfish,STARFISH,exact_normalized,True
station_wagon,,unresolved,False
statue,STATUE,exact_normalized,True
steak,STEAK,exact_normalized,True
steamroller,STEAMROLLER,exact_normalized,True
steering_wheel,,unresolved,False
stem,STEM,exact_normalized,True
step_stool,,unresolved,False
stereo,STEREO,exact_normalized,True
stethoscope,STETHOSCOPE,exact_normalized,True
stew,STEW,exact_normalized,True
stick,STICK,exact_normalized,True
sticker,STICKER,exact_normalized,True
stiletto,STILETTO,exact_normalized,True
stilt,STILT,exact_normalized,True
stingray,STINGRAY,exact_normalized,True
stir_fry,,unresolved,False
stirrup,STIRRUP,exact_normalized,True
stockings,STOCKINGS,exact_normalized,True
stomach,STOMACH,exact_normalized,True
stool,STOOL,exact_normalized,True
stopwatch,STOPWATCH,exact_normalized,True
stove1,,unresolved,False
stove2,,unresolved,False
straightjacket,STRAIGHTJACKET,exact_normalized,True
strainer,STRAINER,exact_normalized,True
strap,STRAP,exact_normalized,True
straw1,,unresolved,False
straw2,,unresolved,False
strawberry,STRAWBERRY,exact_normalized,True
streetlight,STREETLIGHT,exact_normalized,True
stretcher,STRETCHER,exact_normalized,True
string_cheese,,unresolved,False
stroller,STROLLER,exact_normalized,True
stuffing,STUFFING,exact_normalized,True
stump,STUMP,exact_normalized,True
submarine,SUBMARINE,exact_normalized,True
subway,SUBWAY,exact_normalized,True
sugar_cube,,unresolved,False
suit,SUIT,exact_normalized,True
suitcase,SUITCASE,exact_normalized,True
sundae,SUNDAE,exact_normalized,True
sundial,SUNDIAL,exact_normalized,True
sunflower,SUNFLOWER,exact_normalized,True
sunglasses,SUNGLASSES,exact_normalized,True
sunroof,SUNROOF,exact_normalized,True
surfboard,SURFBOARD,exact_normalized,True
sushi,SUSHI,exact_normalized,True
suspenders,SUSPENDERS,exact_normalized,True
swab,SWAB,exact_normalized,True
swan,SWAN,exact_normalized,True
sweater,SWEATER,exact_normalized,True
sweatsuit,SWEATSUIT,exact_normalized,True
sweeper,SWEEPER,exact_normalized,True
sweet_potato,,unresolved,False
swimming_pool,,unresolved,False
swimsuit,SWIMSUIT,exact_normalized,True
swing,SWING,exact_normalized,True
swing_set,,unresolved,False
switch,SWITCH,exact_normalized,True
swizzle_stick,,unresolved,False
sword,SWORD,exact_normalized,True
swordfish,SWORDFISH,exact_normalized,True
syringe,SYRINGE,exact_normalized,True
syrup,SYRUP,exact_normalized,True
t-shirt,T-SHIRT,exact_normalized,True
tab,TAB,exact_normalized,True
table,TABLE,exact_normalized,True
tablecloth,TABLECLOTH,exact_normalized,True
tablet,TABLET,exact_normalized,True
tack,TACK,exact_normalized,True
tackle,TACKLE,exact_normalized,True
taco,TACO,exact_normalized,True
tadpole,TADPOLE,exact_normalized,True
taffy,TAFFY,exact_normalized,True
tag,TAG,exact_normalized,True
taillight,TAILLIGHT,exact_normalized,True
tamale,TAMALE,exact_normalized,True
tambourine,TAMBOURINE,exact_normalized,True
tank1,,unresolved,False
tank2,,unresolved,False
tape,TAPE,exact_normalized,True
tape_measure,,unresolved,False
tape_recorder,,unresolved,False
tapestry,TAPESTRY,exact_normalized,True
tarantula,TARANTULA,exact_normalized,True
target,TARGET,exact_normalized,True
tarp,TARP,exact_normalized,True
tattoo,TATTOO,exact_normalized,True
taxi,TAXI,exact_normalized,True
tea,TEA,exact_normalized,True
teabag,TEABAG,exact_normalized,True
teacup,TEACUP,exact_normalized,True
teapot,TEAPOT,exact_normalized,True
teddy_bear,,unresolved,False
tee,TEE,exact_normalized,True
teepee,TEEPEE,exact_normalized,True
telegraph,TELEGRAPH,exact_normalized,True
telephone_pole,,unresolved,False
telescope,TELESCOPE,exact_normalized,True
television,TELEVISION,exact_normalized,True
tennis_ball,,unresolved,False
tent,TENT,exact_normalized,True
terrarium,TERRARIUM,exact_normalized,True
test_tube,,unresolved,False
thermometer,THERMOMETER,exact_normalized,True
thermos,THERMOS,exact_normalized,True
thermostat,THERMOSTAT,exact_normalized,True
thimble,THIMBLE,exact_normalized,True
thorn,THORN,exact_normalized,True
thread,THREAD,exact_normalized,True
throne,THRONE,exact_normalized,True
thumb,THUMB,exact_normalized,True
thumbtack,THUMBTACK,exact_normalized,True
tiara,TIARA,exact_normalized,True
tick,TICK,exact_normalized,True
ticktacktoe,TICKTACKTOE,exact_normalized,True
tie,TIE,exact_normalized,True
tiger,TIGER,exact_normalized,True
tile,TILE,exact_normalized,True
timer,TIMER,exact_normalized,True
tinsel,TINSEL,exact_normalized,True
tiramisu,TIRAMISU,exact_normalized,True
toad,TOAD,exact_normalized,True
toast,TOAST,exact_normalized,True
toaster,TOASTER,exact_normalized,True
toaster_oven,,unresolved,False
toe,TOE,exact_normalized,True
toga,TOGA,exact_normalized,True
toilet,TOILET,exact_normalized,True
toilet_paper,,unresolved,False
tomato,TOMATO,exact_normalized,True
tomato_sauce,,unresolved,False
tongs,TONGS,exact_normalized,True
tongue,TONGUE,exact_normalized,True
tool,TOOL,exact_normalized,True
toolbox,TOOLBOX,exact_normalized,True
tooth,TOOTH,exact_normalized,True
toothbrush,TOOTHBRUSH,exact_normalized,True
toothpaste,TOOTHPASTE,exact_normalized,True
toothpick,TOOTHPICK,exact_normalized,True
top_hat,,unresolved,False
torch,TORCH,exact_normalized,True
torpedo,TORPEDO,exact_normalized,True
torso,TORSO,exact_normalized,True
tortellini,TORTELLINI,exact_normalized,True
tortilla,TORTILLA,exact_normalized,True
tostada,TOSTADA,exact_normalized,True
totem_pole,,unresolved,False
toucan,TOUCAN,exact_normalized,True
touchpad,TOUCHPAD,exact_normalized,True
towel,TOWEL,exact_normalized,True
towel_rack,,unresolved,False
toy,TOY,exact_normalized,True
tractor,TRACTOR,exact_normalized,True
traffic_light,,unresolved,False
trailer,TRAILER,exact_normalized,True
train,TRAIN,exact_normalized,True
train_car,,unresolved,False
train_set,,unresolved,False
trampoline,TRAMPOLINE,exact_normalized,True
trap,TRAP,exact_normalized,True
trapdoor,TRAPDOOR,exact_normalized,True
trashcan,TRASHCAN,exact_normalized,True
tray,TRAY,exact_normalized,True
treadmill,TREADMILL,exact_normalized,True
treasure,TREASURE,exact_normalized,True
tree,TREE,exact_normalized,True
tree_trunk,,unresolved,False
triangle,TRIANGLE,exact_normalized,True
tricycle,TRICYCLE,exact_normalized,True
trident,TRIDENT,exact_normalized,True
trigger,TRIGGER,exact_normalized,True
tripod,TRIPOD,exact_normalized,True
trolley,TROLLEY,exact_normalized,True
trombone,TROMBONE,exact_normalized,True
trophy,TROPHY,exact_normalized,True
trough,TROUGH,exact_normalized,True
trowel,TROWEL,exact_normalized,True
truck,TRUCK,exact_normalized,True
trumpet,TRUMPET,exact_normalized,True
trunk,TRUNK,exact_normalized,True
tuba,TUBA,exact_normalized,True
tube_top,,unresolved,False
tugboat,TUGBOAT,exact_normalized,True
tulip,TULIP,exact_normalized,True
tumbleweed,TUMBLEWEED,exact_normalized,True
tuning_fork,,unresolved,False
tupperware,TUPPERWARE,exact_normalized,True
turban,TURBAN,exact_normalized,True
turbine,TURBINE,exact_normalized,True
turf,TURF,exact_normalized,True
turkey,TURKEY,exact_normalized,True
turnstile,TURNSTILE,exact_normalized,True
turntable,TURNTABLE,exact_normalized,True
turtle,TURTLE,exact_normalized,True
turtleneck,TURTLENECK,exact_normalized,True
tuxedo,TUXEDO,exact_normalized,True
tweezers,TWEEZERS,exact_normalized,True
twig,TWIG,exact_normalized,True
typewriter,TYPEWRITER,exact_normalized,True
ukulele,UKULELE,exact_normalized,True
umbrella,UMBRELLA,exact_normalized,True
undershirt,UNDERSHIRT,exact_normalized,True
underwear,UNDERWEAR,exact_normalized,True
unicycle,UNICYCLE,exact_normalized,True
uniform,UNIFORM,exact_normalized,True
urinal,URINAL,exact_normalized,True
urn,URN,exact_normalized,True
vacuum,VACUUM,exact_normalized,True
valve,VALVE,exact_normalized,True
van,VAN,exact_normalized,True
vase,VASE,exact_normalized,True
vegetable,VEGETABLE,exact_normalized,True
veil,VEIL,exact_normalized,True
velcro,VELCRO,exact_normalized,True
vending_machine,,unresolved,False
vent,VENT,exact_normalized,True
vest,VEST,exact_normalized,True
vial,VIAL,exact_normalized,True
videocassette,VIDEOCASSETTE,exact_normalized,True
videogame,VIDEOGAME,exact_normalized,True
viewfinder,VIEWFINDER,exact_normalized,True
violin,VIOLIN,exact_normalized,True
vise,VISE,exact_normalized,True
visor,VISOR,exact_normalized,True
volleyball,VOLLEYBALL,exact_normalized,True
vulture,VULTURE,exact_normalized,True
wafer,WAFER,exact_normalized,True
waffle,WAFFLE,exact_normalized,True
waffle_iron,,unresolved,False
wagon,WAGON,exact_normalized,True
walker1,,unresolved,False
walker2,,unresolved,False
wall,WALL,exact_normalized,True
wallet,WALLET,exact_normalized,True
wallpaper,WALLPAPER,exact_normalized,True
walnut,WALNUT,exact_normalized,True
walrus,WALRUS,exact_normalized,True
wand,WAND,exact_normalized,True
warthog,WARTHOG,exact_normalized,True
washboard,WASHBOARD,exact_normalized,True
washcloth,WASHCLOTH,exact_normalized,True
washing_machine,,unresolved,False
wasp,WASP,exact_normalized,True
watch,WATCH,exact_normalized,True
water_bottle,,unresolved,False
water_cooler,,unresolved,False
water_filter,,unresolved,False
water_fountain,,unresolved,False
water_heater,,unresolved,False
watering_can,,unresolved,False
watermelon,WATERMELON,exact_normalized,True
waterwheel,WATERWHEEL,exact_normalized,True
wax,WAX,exact_normalized,True
wax_paper,,unresolved,False
weasel,WEASEL,exact_normalized,True
weather_vane,,unresolved,False
webcam,WEBCAM,exact_normalized,True
wedding_cake,,unresolved,False
wedge,WEDGE,exact_normalized,True
weed,WEED,exact_normalized,True
wetsuit,WETSUIT,exact_normalized,True
whale,WHALE,exact_normalized,True
wheat,WHEAT,exact_normalized,True
wheel,WHEEL,exact_normalized,True
wheelbarrow,WHEELBARROW,exact_normalized,True
wheelchair,WHEELCHAIR,exact_normalized,True
whip,WHIP,exact_normalized,True
whipped_cream,,unresolved,False
whisk,WHISK,exact_normalized,True
whistle,WHISTLE,exact_normalized,True
whiteboard,WHITEBOARD,exact_normalized,True
whoopee_cushion,,unresolved,False
wick,WICK,exact_normalized,True
wig,WIG,exact_normalized,True
wind_chimes,,unresolved,False
window,WINDOW,exact_normalized,True
windowsill,WINDOWSILL,exact_normalized,True
windshield,WINDSHIELD,exact_normalized,True
windshield_wiper,,unresolved,False
windsock,WINDSOCK,exact_normalized,True
wine,WINE,exact_normalized,True
wine_bottle,,unresolved,False
wine_cooler,,unresolved,False
wineglass,WINEGLASS,exact_normalized,True
wing,WING,exact_normalized,True
wire,WIRE,exact_normalized,True
wire_cutters,,unresolved,False
wok,WOK,exact_normalized,True
wolf,WOLF,exact_normalized,True
woman,WOMAN,exact_normalized,True
wood,WOOD,exact_normalized,True
wooden_leg,,unresolved,False
workbench,WORKBENCH,exact_normalized,True
worm,WORM,exact_normalized,True
wrap,WRAP,exact_normalized,True
wrapping_paper,,unresolved,False
wreath,WREATH,exact_normalized,True
wreck,WRECK,exact_normalized,True
wrench,WRENCH,exact_normalized,True
wrist,WRIST,exact_normalized,True
xylophone,XYLOPHONE,exact_normalized,True
yacht,YACHT,exact_normalized,True
yak,YAK,exact_normalized,True
yarn,YARN,exact_normalized,True
yo-yo,YO-YO,exact_normalized,True
yogurt,YOGURT,exact_normalized,True
yoke,YOKE,exact_normalized,True
yolk,YOLK,exact_normalized,True
zebra,ZEBRA,exact_normalized,True
zipper,ZIPPER,exact_normalized,True
zucchini,ZUCCHINI,exact_normalized,True
